,DEN_REG,Tipo di indicatore demografico,Value
0,Piemonte,popolazione al 1º gennaio,4375865
1,Valle d'Aosta,popolazione al 1º gennaio,126202
2,Liguria,popolazione al 1º gennaio,1556981
3,Lombardia,popolazione al 1º gennaio,10036258
4,Trentino-Alto Adige,popolazione al 1º gennaio,1067648
5,Veneto,popolazione al 1º gennaio,4905037
6,Friuli Venezia Giulia,popolazione al 1º gennaio,1215538
7,Emilia-Romagna,popolazione al 1º gennaio,4452629
8,Toscana,popolazione al 1º gennaio,3736968
9,Umbria,popolazione al 1º gennaio,884640
10,Marche,popolazione al 1º gennaio,1531753
11,Lazio,popolazione al 1º gennaio,5896693
12,Abruzzo,popolazione al 1º gennaio,1315196
13,Molise,popolazione al 1º gennaio,308493
14,Campania,popolazione al 1º gennaio,5826860
15,Puglia,popolazione al 1º gennaio,4048242
16,Basilicata,popolazione al 1º gennaio,567118
17,Calabria,popolazione al 1º gennaio,1956687
18,Sicilia,popolazione al 1º gennaio,5026989
19,Sardegna,popolazione al 1º gennaio,1648176
